detector,dataset,probability,label,image_path
srm,UADFV_train,0.018171912,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0002/086.png
srm,UADFV_train,0.8556144,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0007_fake/076.png
srm,UADFV_train,0.8513402,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0028_fake/026.png
srm,UADFV_train,0.78853714,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0002_fake/015.png
srm,UADFV_train,0.8465779,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0039_fake/052.png
srm,UADFV_train,0.032982945,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0014/130.png
srm,UADFV_train,0.06254751,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0004/063.png
srm,UADFV_train,0.89150685,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0016_fake/053.png
srm,UADFV_train,0.07463389,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0041/627.png
srm,UADFV_train,0.93133235,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0008_fake/024.png
srm,UADFV_train,0.040095717,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0022/233.png
srm,UADFV_train,0.96557504,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0045_fake/635.png
srm,UADFV_train,0.14110735,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0028/035.png
srm,UADFV_train,0.87760323,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0030_fake/009.png
srm,UADFV_train,0.9207976,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0003_fake/061.png
srm,UADFV_train,0.12122292,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0027/192.png
srm,UADFV_train,0.9397312,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0018_fake/199.png
srm,UADFV_train,0.94452214,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0018_fake/062.png
srm,UADFV_train,0.90822965,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0029_fake/005.png
srm,UADFV_train,0.16638026,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0010/336.png
srm,UADFV_train,0.94054794,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0048_fake/642.png
srm,UADFV_train,0.9541461,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0007_fake/153.png
srm,UADFV_train,0.83793706,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0027_fake/161.png
srm,UADFV_train,0.33594844,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0005/000.png
srm,UADFV_train,0.13493352,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0041/066.png
srm,UADFV_train,0.06375776,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0011/133.png
srm,UADFV_train,0.9106314,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0009_fake/284.png
srm,UADFV_train,0.8974051,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0044_fake/921.png
srm,UADFV_train,0.93197614,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0039_fake/071.png
srm,UADFV_train,0.07741905,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0010/073.png
srm,UADFV_train,0.96044177,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0015_fake/000.png
srm,UADFV_train,0.08515323,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0003/075.png
srm,UADFV_train,0.13433117,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0028/044.png
srm,UADFV_train,0.9555908,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0038_fake/059.png
srm,UADFV_train,0.9562222,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0014_fake/019.png
srm,UADFV_train,0.9606537,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0036_fake/106.png
srm,UADFV_train,0.05107042,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0008/108.png
srm,UADFV_train,0.056970175,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0001/000.png
srm,UADFV_train,0.094475165,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0036/064.png
srm,UADFV_train,0.8823354,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0010_fake/263.png
srm,UADFV_train,0.66883206,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0027_fake/049.png
srm,UADFV_train,0.43770677,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0034_fake/079.png
srm,UADFV_train,0.07595036,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0031/005.png
srm,UADFV_train,0.067965016,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0048/379.png
srm,UADFV_train,0.69691384,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0024_fake/195.png
srm,UADFV_train,0.92247504,1,/data/Btask/DeepfakeBench1/datasets/UADFV/fake/frames/0016_fake/020.png
srm,UADFV_train,0.15439655,0,/data/Btask/DeepfakeBench1/datasets/UADFV/real/frames/0016/020.png
