sample_idx,centroid_type,similarity
0,train_real_centroid,0.12299691
1,train_real_centroid,0.17813255
2,train_real_centroid,0.23738553
3,train_real_centroid,0.12680691
4,train_real_centroid,0.1178673
5,train_real_centroid,0.10525539
6,train_real_centroid,0.13581753
7,train_real_centroid,0.18022615
8,train_real_centroid,0.18743923
9,train_real_centroid,0.102382354
10,train_real_centroid,0.096105464
11,train_real_centroid,0.120784864
12,train_real_centroid,0.11721728
13,train_real_centroid,0.098628655
14,train_real_centroid,0.13112009
15,train_real_centroid,0.124625415
16,train_real_centroid,0.08720089
17,train_real_centroid,0.109916866
18,train_real_centroid,0.099973306
19,train_real_centroid,0.095537946
20,train_real_centroid,0.10732679
21,train_real_centroid,0.08179077
22,train_real_centroid,0.12439835
23,train_real_centroid,0.35821128
24,train_real_centroid,0.43604553
25,train_real_centroid,0.15117645
26,train_real_centroid,0.12500364
27,train_real_centroid,0.11746567
28,train_real_centroid,0.12564698
29,train_real_centroid,0.122724645
30,train_real_centroid,0.14043349
31,train_real_centroid,0.14839286
32,train_real_centroid,0.11702017
33,train_real_centroid,0.18939662
34,train_real_centroid,0.15282379
35,train_real_centroid,0.11149661
36,train_real_centroid,0.093865566
37,train_real_centroid,0.14489132
38,train_real_centroid,0.14872107
39,train_real_centroid,0.13407432
40,train_real_centroid,0.12311646
41,train_real_centroid,0.16810615
42,train_real_centroid,0.099640325
43,train_real_centroid,0.11884561
44,train_real_centroid,0.097870395
45,train_real_centroid,0.09458925
46,train_real_centroid,0.100891136
47,train_real_centroid,0.089298464
48,train_real_centroid,0.118586965
49,train_real_centroid,0.11033391
50,train_real_centroid,0.08770497
51,train_real_centroid,0.108374044
52,train_real_centroid,0.08560133
53,train_real_centroid,0.09657394
54,train_real_centroid,0.32735357
55,train_real_centroid,0.108102575
56,train_real_centroid,0.11309489
57,train_real_centroid,0.1237594
58,train_real_centroid,0.11207743
59,train_real_centroid,0.091808386
60,train_real_centroid,0.19024126
61,train_real_centroid,0.15738688
62,train_real_centroid,0.12300256
63,train_real_centroid,0.30080092
64,train_real_centroid,0.099694826
65,train_real_centroid,0.10637348
66,train_real_centroid,0.11989511
67,train_real_centroid,0.11133552
68,train_real_centroid,0.107306905
69,train_real_centroid,0.13815491
70,train_real_centroid,0.10526747
71,train_real_centroid,0.13573559
72,train_real_centroid,0.14875627
73,train_real_centroid,0.13427934
74,train_real_centroid,0.21632455
75,train_real_centroid,0.18732339
